Store Name,Address,Timings,Phone Number,Latitude,Longitude
Bsr Mall,"Croma, 1/609, BSR Mall, Old Mahabalipuram Rd, Thoraipakkam, TAMIL NADU, Chennai, 600096",11:00am-09:00pm,9384673155,12.9300691,80.2300221
Croma Juhu,"Croma, Juhu Ground Floor, Vasundhara Chs, Opp Utpal Shanghvi School, JVPD Scheme, Vile Parle West, Mumbai, 400049",11:00am-09:30pm,9167255740,19.1038725,72.8402903
Crown Mall,"Croma, Crown Faridabad, 1st Floor, Crown Mall, National Highway 2, 12/7, Mathura Rd, Faridabad, 121003",11:00am-09:00pm,18005727662,28.4676629,77.3063159
Rohini Sector 3,"Croma, PLOT NO 18 Mangalam Place, Sector 3,, Rohini Vikas Surya Shopping Mall, New Delhi, 110085",11:00am-09:00PM,9711117615,28.6622022,77.1069248
Aditya City Centre Indirapuram,"Croma, Plot No.C, Aditya City Centre, GH-3, Vaibhav Khand, Indirapuram, Ghaziabad, 201001",11:00am-09:00PM,9311146753,28.63781615,77.36148073
R City Mall Ghatkopar,"Croma, R City Mall, Unit No.G10, Ground Floor, LBS Rd, Amrut Nagar, Ghatkopar West, Mumbai, 400086",11:00am-09:30pm,072076 66000,19.1014899,72.9115035
Crystal Mall,"Croma, Crystal Mall, Kalavad Rd, Opp. Rani Tower, GUJARAT, Rajkot, 360005",11:00am-09:30pm,70691 00329,22.28145629,70.76158388
Croma Saket,"Croma, E,150, Saket Rd, Block E, Saket, New Delhi, 110017",11:00am-09:00PM,18005727662,28.5274543,77.2119261
South Ex,"Croma, D-14, South Extension, Block D, South Extension II, New Delhi, 110049",10:30am - 9:30pm,18005727662,28.6138954,77.2090057
Dlf City,"Croma, Golf Course Road, Saraswati Vihar, DLF Phase 1, Sector 28, Gurgaon, 122002",11:00am-09:00pm,18005727662,28.4741302,77.0825722
Croma Koramangala,"Croma, Ground Floor, Indraprastha Equinox, 23, 100 Feet Rd, Venkappa Garden, Koramangala, Bangalore, 560095",11:00am-09:00pm,7795838018,13.2923988,77.7519261
Delhi Airport Terminal 3 International,"Croma, Indira Gandhi International Airport, Terminal 3, Unit no. IN – 18b & IN – 19a, Security Hold Area International Departure, New Delhi, 110037",12:00am-11:59pm,18005727662,28.6138954,77.2090057
Kolkata Rajarhat,"Fairfield by Marriott, Rajarhat, Action Area I, Newtown, WEST BENGAL, Kolkata, 700156",11:00am-09:00PM,6292199281,22.57868085,88.4748626
Croma Banshankari,"Croma, S.R.P. Arcade, 30/31, 6th Phase, Outer Ring Rd, Banashankari 3rd Stage, Bangalore, 560085",11:00am-09:00pm,9606040829,12.9292672,77.5448597
Rajaji Nagar,"Croma, Plot No-385, 11, 19th G Main Rd, 1st Block, 1st N Block, Rajajinagar, Bangalore, 560010",11:00am-09:00pm,6366386646,12.9882338,77.554883
Pusa Road,"Croma, Plot No-3, Pusa Rd, Block 18 A, WEA, Karol Bagh, New Delhi, 110005",11:00am-09:30pm,8929042399,28.6452894,77.1824954
Croma Jayanagar,"Croma, Plot No.31, Ground Floor And First Floor Shravanee's Krishna Mansion Outer Ring Road, 100 Feet Ring Rd, 2nd Block, Jayanagar, Bangalore, 560011",11:00am-09:00pm,9606040828,12.9315988,77.5770649
Sohna Road,"Croma, Universal Trade Tower, Ground/Mezzanine Floor, A118, Sohna - Gurgaon Rd, Sector 49, Gurgaon, 122018",11:00am-09:00pm,18005727662,28.4128851,77.0498362
Andheri W,"Croma, 2/3 Link Road Landmark, Opposite China Gate Restaurant Andheri, MAHARASHTRA, Mumbai, 400053",11:00am-09:00pm,8879682863,19.1376712,72.8302328
Rohini Unity Metro Park,"Croma, Unity One-Rohini, Shop no G1, Sector-10 Bhagwan Mahavir Marg Beside Rohini West Metro Station, Unity One Mall, New Delhi, 110085",11:00am-09:00PM,8860175120,28.6622022,77.1069248
Kompally Ratna Arcade,"Croma, Sree Vensai Towers, Ratna Arcade, Ground Floor Survey No. 128 National Highway 44, Beside, Kompally, Hyderabad, 500014",11:00am-09:00pm,9160180011,17.5447029,78.491842
Borivali West,"Croma, Natraj, Ground & 1st Floor, Sodawala Ln, Borivali West, Mumbai, 400092",11:00am-09:00pm,8291008759,19.23346735,72.85356542
Infiniti Mall,"Croma, Infiniti Mall, Unit No.LG002, New Link Rd, Malad West, Mumbai, 400064",11:00am-09:00pm,8879128513,19.1840129,72.8412155
Baner Pune,"Croma, Showroom No. 1 & 2, Ground Floor, Pride Gateway S. No. 112, 1/2/1, 112/1/2/3 P, Baner, Pune, 411045",11:00am-09:00pm,9637366222,18.55953295,73.79154359
Croma Jamnagar,"Croma, Shreeji One, Indira Gandhi Rd, Nr. Gurudwara, GUJARAT, Jamnagar, 361001",11:00am-09:00pm,70691 00327,22.46953626,70.05885749
Croma Kukatpally,"Croma, No.5-1-63, Adjacent to BJP Office, Shanti Nagar, NH65, Shanthi Nagar, Kukatpally, Hyderabad, 500072",11:00am-09:00pm,9606979300,17.4930841,78.4054408
Croma Bhavnagar,"Croma, Sun Exotica, Opp. To Victoria park, Iscon Megacity, GUJARAT, Bhavnagar, 364002",11:00am-09:00pm,70691 00328,21.77508554,72.15076097
Croma Hubli Gokul Road,"Croma, Ground and First Floor, Signature Mall, Opposite Urban Oasis, Gokul Road, Airport Road, KARNATAKA, Hubli, 580030",11:00am-09:00pm,9606058841,15.36047835,75.07761238
Croma Chrompet,"Croma, No 14 & 15, GST Road Tambaram Sanatorium, Kamakshi Colony, Chromepet, TAMIL NADU, Chennai, 600047",11:00am-09:00pm,9384855066,12.9575007,80.1435066
Belapur Cbd,"Croma, Plot 35, Lords Bldg, 35A, Palm Beach Rd, Sector 15, CBD Belapur, Navi Mumbai, Mumbai, 400614",11:00am-09:00pm,9223553292,19.01898695,73.03909472
Croma Mulund,"Croma, Colour Scape, Mall Dhamaal, Off LBS Road, Dumping Road Near Mulund Checknaka, Mulund (W), Mumbai, 400080",11:00am-09:30pm,7207666000,19.1719717,72.9511956
Kalyana Nagar,"Croma, Ground and 1st Floor S S Manor Chelikere Ring Road, Chikka Tayapa, Kodandarama? Reddy Layout, Kalyan Nagar, Bangalore, 560043",11:00am-09:00pm,6366386640,13.0221416,77.6403368
Greater Noida Ansal Plaza,"Croma, Unit no.A G-16&22, Pari Chowk, Sadarpur, Greater Noida, 201308",11:00am-09:00PM,9311146755,28.4670734,77.5137649
"Croma	Panjagutta","Croma, Grnd Flr 6-3-664, Panjagutta Main Road Prestige Towers Somajiguda, Matha Nagar, Punjagutta, Hyderabad, 500018",11:00am-09:00pm,9160850202,17.426689,78.4524212
112 Ndelhi Airport,"Croma, Terminal 1, Unit No.5H & 5I, 8 Security Hold Area D, Domestic Airport, New Delhi, 110007",11:00am-09:00PM,18005727662,28.5632525,77.1215308
Croma Sion,"Croma, Cinemax, SION, Ground Floor, Sion Garage Building, Plot No. 112 Sion Koliwada Road,Near, Mumbai, 400022",11:00am-09:30pm,18005727662,19.0644885,72.8999248
Oberoi Mall,"Croma, Western Express Hwy, Yashodham, Goregaon, Mumbai, 400063",11:00am-09:30pm,7506937099,19.1734642,72.8665731
Croma Kothrud,"Croma, Giridhar Avenue,Ground Flr S.No.20/2 Plot No.R1, CTS No.677, Kothrud, Pune, 411038",10:00am-09:00pm,7506929749,18.5038889,73.807673
Nadiad Uttarsanda Road,"Croma, Ground, First & Second floor Sepal Building, Uttarsanda Road, Opp. Tulsi  Residency, GUJARAT, Nadiad, 387001",11:00am-09:00pm,7575003323,22.6895535,72.8713603
Connaught Place,"Croma, Ground Floor, Odeon Cine Complex, D Block, Connaught Place, New Delhi, 110001",11:00am-09:00PM,8586074929,28.6314022,77.2193791
Woodys J P Nagar,"Croma, Ground floor/First Floor ,#45/1-1, Woody's, 17th Main, 5th Cross, Marenahalli Rd, 2nd Phase, J. P. Nagar, Bangalore, 560078",11:00am-09:00pm,7200666000,12.9117472,77.5918492
Royal Meenakshi Mall,"Croma, Unit 1, Bannerghatta Main Rd, Arekere, Bangalore, 560076",11:00am-09:00pm,8867916256,12.8833218,77.6067805
Sector 26,"Croma, SCO No-57, Ground/Basement, Madhya Marg, Sector 26, Chandigarh, 160019",11:00am-09:00pm,9711168590,30.7261366,76.804247
Croma Dwarka,"Croma, Pocket B, 4, Sector 13 Main Rd, Sector 13, Dwarka, DELHI, New Delhi, 110075",11:00am-09:30pm,8929229266,28.57932025,77.05602891
Mahavir Nagar Kandivali,"Croma, V Souk, B-2, Sector-10, Opposite, Kamla Vihar Sports Club Ln, Mahavir Nagar, Kandivali, Mumbai, 400067",11:00am-09:00PM,7506164972,19.204159,72.8516821
Grand Mall Velachery,"Croma Grand Mall, 137, Velachery, Tambaram Main Rd, Tambaram, Chennai, 600042",11:00am-09:00pm,7338870631,12.92565485,80.10437
Croma Adajan,"Croma, Proton Plus, LP Savani Rd, Opposite Khodiyar Temple, Adajan Gam, Adajan, Surat, 395009",11:00am-09:00pm,18005727662,21.200381,72.781798
Hyderabad International Airport,"Croma, Unit No. SU 16a, Level F, Domestic Departure Rajiv Gandhi International Airport, Shamshabad, Hyderabad, 500409",12:00am-12:00am,9581000386,8.2841869,125.2543985
Seasons Mall Magarpatta City,"Croma, Seasons Mall, 21, Magarpatta Police Station Rd, Magarpatta, Hadapsar, Pune, 411028",11:00am-09:00pm,9028001401,18.5008462,73.9305311
Croma Wakad,"Croma, Ground Floor, Showroom no.3/2 Building No. A, GO Square, Wakad, Pune, 411057",11:00am-09:00pm,9028001402,18.5951587,73.7686858
Century Bhawan Prabhadevi,"Croma, Century Bhavan, Lower Ground Floor, Dr Annie Besant Rd, Worli, Mumbai, 400030",11:00am-09:00pm,9820442073,19.0055115,72.818056
L B Nagar,"Croma, Ground Floor, D.V. Cascade, Plot no 59A, 59B, 59C, 59D, Survey No.9/9 LB Nagar Service Road Saroornagar Village, L. B. Nagar, Hyderabad, 500074",11:00am-09:00pm,9246810230,17.349846,78.5479412
Phoenix Market City,"Croma, 1st Phoenix Market City Unit No: F-41, Viman Nagar, Pune, 411014",11:00am-09:00pm,8976911834,18.5653748,73.91028172
Akshar Plaza Vashi,"Croma, Akshar Plaza Ground & First Floor Plot No. 26 & 27 C, Palm Beach Rd, Sector 19, Vashi, MAHARASHTRA, Mumbai, 400705",11:00am-09:00pm,8976904301,19.0684274,72.9962587
Logix City Centre,"Croma, Unit No. 11 Logix City Centre Plot No, BW-58, Sector 32, Noida, 201301",11:00am-09:00PM,9311146957,28.57960795,77.35024251
Croma Seawoods Nexus Mall,"CROMA, NEXUS SEAWOODS, PLOT NO.R - 1, SECTOR 40, SEAWOODS RAILWAY STATION, SEAWOODS, NAVI MUMBAI, 400706",11:00am-09:00PM,8291940755,19.0220038,73.016655
Croma Bhandup,"Croma, Neptune Mall Ground Floor Near Mangatram petrol pump, LBS Rd, Bhandup West, Mumbai, 400078",11:00am-09:00pm,9136918525,19.1472916,72.936886
Croma Mogappair,"Croma, Fashion look, Plot No B24, Industrial Plot, at Dr. Puratchi Thalaivi Jayalalita Nagar West Opp, Mogappair, Chennai, 600037",11:00am-09:00pm,7338870632,13.0822583,80.1697177
Miraya Rose,"Croma, Miraya Rose, Survey No.66/1 (Old No.66 Siddapura Village, Varthur Rd, Uttarahalli Hobli, Bangalore, 560066",11:00am-09:00pm,7795838013,12.97245632,77.73503198
Croma Kolhapur,"Croma, Part Ground Floor, Plot No. 517 E, Next to Star Hyper, Old Pune Bangalore, Road, MAHARASHTRA, Kolhapur, 416001",11:00am-09:00PM,9607483535,16.2179597,74.4316174
Satyam Ahmedabad,"Croma, Court, Unit No. 02,03,04 on Ground & 102, 103 & 104 on 1st Floor, Opp.GUJARAT High, Sarkhej - Gandhinagar Hwy, Ahmedabad, 380060",11:00am-09:30pm,18005727662,23.0130159,72.5032803
Croma Bhuj,"Croma, Seven Sky Mall,  Airport Ring Road, GUJARAT, Bhuj, 370001",11:00am-09:00pm,7069100326,23.2700937,69.6527943
Sarat Bose Road,"Croma, 57, Sarat Bose Road, Ground, First and Second Floor, PS Residency Building, WEST BENGAL, Kolkata, 700025",11:00am-09:00PM,8929081382,22.56094605,88.4104336
Croma Goa,"Croma, Mathura One”, situated at Survey No. 381/3, NH 66, Porvorim, GOA, Goa, 403501",10:30am-08:30pm,8291213119,15.518315,73.82908437
Croma Mandya,"Croma, Dayananda International D2/1529/1784/1, Bandi Gowda Layout Next to Hero Showroom, Indian Oil petrol pump, SH 1, KARNATAKA, Mandya, 571401",11:00am-09:00pm,6366386648,12.4695215,76.6589724
Croma Ramanthapur,"Unit No.2&3 Ground Floor, Plot Survy No.46, Pragathi Nagar, beside Megha women's Degree college, Ramanthapur, TELANGANA, Hyderabad, 500013",11:00am-09:00pm,9606190708,17.3953573,78.5305516
Pacific Mall,"Croma, Pacific Mall, Plot 1, Dr Burman Rd, Plot Alpha, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, 201010",11:00am-09:00PM,8929047442,28.6722772,77.3700121
Mount Road,"Croma, Tarapore Towers, 826 Ground Floor, Anna Salai, Chennai, 600002",11:00am-09:00pm,8939815470,13.0311209,80.2396795
Rajouri Garden,"Croma, C-10, Near, Gurudwara Rd, Block C, Rajouri Garden, New Delhi, 110027",11:00am-09:30pm,040 4651 7910,28.4444554,77.4655984
Vizag Muralinagar,"First floor Hema Abodes, Botcha Square (Passport Seva Kendra), NH -16, Birla Junction, Muralinagar, Visakhapatnam, ANDHRA PRADESH, Vishakhapatnam, 530007",11:00am-09:00pm,6366766601,22.8573502,108.2154045
Croma Salt Lake,"Croma,Kolkata,Salt lake-Sec-V “Aurora Water Front” – GN-34/1, Saltlake Sec-V, Bidhannagar, North 24 Parganas Near – Nalban Food Park, Gate No-01, Kolkata, 700091",11:00am-09:00pm,6292246807,22.5499627,88.2875095
Croma Kondapur,"Croma, Nagarjuna Ikon, Plot No 4, Survey No 19, Kothguda Village Serlingampally mandal opposite bus stop, Hanuman Nagar, Kondapur, Hyderabad, 500081",11:00am-09:00pm,8519994053,17.46094995,78.3562833
Select Citywalk Mall,"Croma, F-02,First Floor, Select City Walk plot no.a-3 &, P-1B, Saket District Centre, District Centre, Sector 6, Pushp Vihar, New Delhi, 110017",09:00am - 11:00pm,8929026700,28.6138954,77.2090057
Gaur Central Rdc,"Croma, Unit No 9, Ground Floor, Gaur Central, Maharana Pratap Marg, RDC, Raj Nagar, Ghaziabad, 201001",11:00am-09:00PM,9311146852,28.6861763,77.3994415
Croma Varachha,"Croma, DeepKamal Mall, Varachha Main Rd, Sarthana Jakat Naka, Surat, 395006",11:00am-09:00pm,9727705768,21.19177615,72.95441578
Ambience Mall,"Croma, S-207, 208, 2nd Floor Ambience Mall NH-8, Ambience Island, Gurgaon, 122001",11:00am-09:00pm,9711941670,28.5007796,77.102441
Noida Mall Of India,"Croma, Unit No. C218B, 1st Floor DLF Mall of India Plot No. H-03, Sector 18, Noida, 201301",11:00am-09:00PM,9311146725,28.57035695,77.32326888
Vr Mohali,"Croma, Unit No.G-17,18,19, F-17,18,19, VR PUNJAB Mall, National Highway 21, Kharar - Landran Rd, Sector 118, Sahibzada Ajit Singh Nagar, PUNJAB, Mohali, 160055",11:00am-09:00pm,8929034467,30.70834813,76.71143979
Mysr Double Rd,"Croma, 508, Vishwamanava Double Road, Kuvempu Nagara, KARNATAKA, Mysore, 570023",11:00am-09:00pm,6366386647,12.2927606,76.625013
Churchgate God,"Croma, Ram Mahal, Block No. 2, Ground Floor, 8, Dinshaw Vacha Rd, Churchgate, MAHARASHTRA, Mumbai, 400020",11:00am-09:00pm,8291760607,18.9306566,72.82625519
Croma Kapurbawadi,"Croma, House No. 43, S. NO. 32/2H, 5, Ghodbunder Rd, Kapurwadi, MAHARASHTRA, Mumbai, 400607",11:00am-09:30pm,8879809260,19.24366765,73.00078086
Gwalior City Center,"Croma, C1, opposite Hotel Central Park, City Center, MADHYA PRADESH, Gwalior, 474001",11:00am-09:00PM,8815881231,26.20103702,78.15939777
Dev Arc Mall,"Croma, Dev Arc Mall Sg Road & Satellite Road, Next to Fun Republic, Satellite, Ahmedabad, 380053",11:00am-09:30pm,18005727662,23.02792,72.5191235
Croma Centre Square Mall,"Croma, Centre Square Mall, Near Genda Circle Opp Vadodara Central, Sarabhai Rd, Vadodara, 390007",11:00am-09:00pm,9227225236,22.30777501,73.16565042
Bharuch Dahej Bypass Road,"The Acropolis Building, Ground & 1st Floor, Opp. GACL Colony, Near Sharvan Chowkdi, Bharuch Dahej Bypass Road, GUJARAT, Bharuch, 392001",11:00am-09:00pm,6359636671,21.70479284,72.9895128
Jubilee Hills,"Croma, Ground and First, 755, Rd Number 36, Kavuri Hills Phase 1, CBI Colony, Jubilee Hills, Hyderabad, 500033",11:00am-09:00pm,9246810231,17.4328865,78.3994454
T Nagar,"Croma, Kences Towers, Ground Flr, Usman Road No.1, Ramakrishna St, T. Nagar, Chennai, 600017",11:00am-09:00pm,9282102824,13.03969,80.23565
Croma Marathahalli,"Croma, P.R. Business Centre, Marathahalli - Sarjapur Outer Ring Rd, Kadubeesanahalli, Marathahalli, Bangalore, 560037",11:00am-09:00pm,7795838012,12.9552572,77.6984163
East Of Kailash,"Croma, Plot No.E, Lamba House 11-A, East of Kailash, New Delhi, 110065",11:00am-09:30pm,9582224637,28.5558548,77.2488354
Breach Candy,"Croma, #106, Dhun-Abad, Bhulabai Desai Road Junction of Warden Road, L Jagmohandas Marg, Mumbai, 400036",11:00am-09:30pm,7506045549,18.9645661,72.804393
Croma Sector 22 B Chandigarh,"Croma, Ground/First Floor SCO No.1094, 1095, Sector 22B, Chandigarh, 160022",11:00am-09:00pm,9988234997,30.72416345,76.78315896
Croma Kharghar,"Croma, Kharghar,Showroom No.2/3/4/5/6, Ground/First Floor The Landmark, Plot No.26A,Sec 07, Mumbai, 410210",11:00am-09:00pm,8976904300,19.04760215,73.06992088
Croma Motera,"Croma, Ground & 1st The Emporio Visat, Sarkhej - Gandhinagar Hwy, Opp. 4, D Square, Motera, Ahmedabad, 380005",11:00am-09:30pm,7573938842,23.0917717,72.59733447
Croma Avadi,"Croma, Avadi, Plot No. 6/PC2, 4 & 5, 60 Feet Rd, Ramalingapuram, TNHB, Chennai, 600054",11:00am-09:00pm,9384842653,12.9919105,80.2106804
Wtp Jaipur,"Croma, 1st floor, Tower A1, North, World Trade Park, Jawahar Lal Nehru Marg, D-Block, Malviya Nagar, RAJASTHAN, Jaipur, 302017",11:00am-09:00pm,8929114899,26.857769,75.8142447
Croma Baramati,"Croma, 116/12, Lower Ground, Ground, First and Second Floor G G Prime Square, Jalochi, Baramati Bhigwan Road, MAHARASHTRA, Pune, 413102",11:00am - 09:00pm,9607912265,18.1691711,74.596945
Croma Indore,"First Floor, Apollo Premier, Vijay Nagar Square, MADHYA PRADESH, Indore, 452010",11:00am-09:30pm,8291003682,22.751092,75.89548901
Vngr Hadadiroad,"Croma, D. No: 1647, Hadadi Road, Ambedkar Circle, Next to Bharat Petrol Pump, KARNATAKA, Davangere, 577001",11:00am-09:00pm,8867916259,14.46266285,75.93092131
Croma Gandhidham,"Croma, Chandan Square, Rabindranath Tagore Road, Nr Old High Court Rd, GUJARAT, Gandhidham, 370201",11:00am-09:00pm,70691 00325,23.07054859,70.12885457
Coimbatore Prozone Mall,"Croma, Unit No. G-15, Village Sarvanampatti, Sathy Road, TAMIL NADU, Coimbatore, 641035",11:00am-09:00pm,9384024715,11.0188943,76.9698817
Croma Waluj,"Croma, Plot no P-142, Opposite Shreya Life Sciences, Ground Floor, Ambedkar Chowk, MIDC, Waluj, MAHARASHTRA, Aurangabad, 431136",09:00am-09:00pm,9607954930,19.8459528,75.2423572
Croma Junagadh,"Croma, Western Square, Timbawadi Byp Road, Near Swaminarayan Temple, GUJARAT, Junagadh, 362015",11:00am-09:00pm,7069100324,21.50205446,70.42929394
Arera Colony Bhopal,"E-4,10 No Market, Arera Colony, MADHYA PRADESH, Bhopal, 462016",11:00am-09:00pm,8085307077,23.2208721,77.4293649
Db Mall Bhopal,"Lower ground floor, DB City Mall , MADHYA PRADESH, Bhopal, 462004",11:00am-09:00pm,8657424214,23.2584857,77.401989
Croma Vapi,"Croma, Rathod Chambers, near Balaji Towers, Daman Road, Chala, GUJARAT, Vapi, 396191",11:00am-09:00pm,7069002509,20.39026645,72.88825079
